流水號,大類別,From,網址,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
24,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_915747275213308,8:30:41 AM,video,111103359011041_915747275213308,別小看工程師的籃球魂啊！,shared_story,https://www.facebook.com/22ThinkCreative/videos/1340501479308702/,22,18,1317,,3/28/2016 20:54
61,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906266512828051,10:50:01 PM,link,111103359011041_906266512828051,【旅遊英文】出國旅遊時，要點餐卻只能比手畫腳嗎？如果很餓想要薯條加大要怎麼說呢？🍟🍟🍟如何點餐一次教給你！(by #學海無編)#說到點餐肚子又餓了 #薯條怎麼能不加大呢 #專欄教學,shared_story,https://www.hopenglish.com/4-ways-to-order-at-a-restaurant-2,如何用英文點餐？4種簡單句型教給你！,1,250,94,3/20/2016 17:16
60,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907761132678589,9:20:00 AM,photo,111103359011041_907761132678589,各位學英文的朋友早安：)「換言之、也就是說」- In Other Words↓https://www.hopenglish.com/in-other-words-6關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907761132678589/?type=3,Timeline Photos,1,235,25,3/21/2016 16:14
17,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_916787661775936,10:35:36 AM,video,111103359011041_916787661775936,好真實的開賽秀啊！,shared_story,https://www.facebook.com/1424927337811617/videos/1529279334043083/,Omg Lmfao Lol Wtf Videos,2,218,,3/28/2016 14:57
67,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_908008202653882,7:58:00 PM,link,111103359011041_908008202653882,【職場英文】寫履歷時還在用 Times New Roman 字體嗎？小心，面試官可能會以為你是 ________ 的人喔！(by #希小編 )#避開5大地雷字體 #職場無往不利 #精選影片,shared_story,https://www.hopenglish.com/how-to-know-the-fonts-to-never-use,「想給人好印象？絕對別用這五種字體」- How to Know the Fonts to Never Use,0,202,82,3/18/2016 19:58
44,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911651652289537,9:20:01 AM,photo,111103359011041_911651652289537,各位學英文的朋友早安：)「簡而言之、總之」- In Short↓https://www.hopenglish.com/in-short-2關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/911651652289537/?type=3,Timeline Photos,2,199,20,3/24/2016 9:15
22,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_913875265400509,12:20:01 PM,photo,111103359011041_913875265400509,大量使用片語才是老外真正的說話方式↓「簡而言之」- Put Simply↓https://www.hopenglish.com/put-simply關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/913875265400509/?type=3,Timeline Photos,1,178,19,3/28/2016 15:29
14,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_917301515057884,11:26:54 PM,link,111103359011041_917301515057884,今天相信很多粉絲和小編一樣心情都很低落 😢😢 ，甚至是憤怒又無奈的感覺！同樣都是安慰，你付出的是「同理心」還是「同情心」？同理心能激發人與人之間的情感連結，但同情心卻只會讓雙方更加疏遠。(by #安小編) #這社會病了酸了覺得心好痛 #專欄教學,shared_story,https://www.hopenglish.com/empathy,【實用英文】同情心還是同理心？,2,174,19,3/28/2016 23:26
29,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911693935618642,10:50:00 PM,link,111103359011041_911693935618642,【希平方英文學堂】還記得有一次出國 #希小編 有機會到一家高級餐廳用餐，結果看著菜單卻不知道從何點起，瞬間好想找個地洞鑽下去....如果當時知道這些用詞，就不怕出糗啦！  B|  B|  B| #套餐英文是什麼 #單點英文又是什麼 #混合套餐呢 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/tims-place-where-breakfast-lunch-and-hugs-are-served-2,國外用餐好麻煩？一次看懂英文菜單！,0,168,64,3/25/2016 22:50
59,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907763856011650,12:20:01 PM,photo,111103359011041_907763856011650,大量使用片語才是老外真正的說話方式↓「不再」- No Longer↓https://www.hopenglish.com/no-longer-7關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907763856011650/?type=3,Timeline Photos,2,165,14,3/21/2016 16:01
32,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911810398940329,9:20:01 AM,photo,111103359011041_911810398940329,各位學英文的朋友早安：)「每一個」- Every Last↓https://www.hopenglish.com/every-last和 every 意思相同，但想要更加強語氣時就可以用 every last 喔～,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/911810398940329/?type=3,Timeline Photos,1,154,20,3/28/2016 15:31
52,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_910206515767384,10:50:00 PM,link,111103359011041_910206515767384,【實用英文】週一動起來！以下開放搶答🙋🙋🙋Everyone in the office seems so ____________ on Monday.（辦公室裡的每個人在星期一看起來都好沮喪）1. Depressed 2. Gloomy 3. Anxious 4. Frightened快點進來找答案⬇⬇⬇⬇⬇(by #學海無編） #專欄教學,shared_story,https://www.hopenglish.com/facebook-finally-has-emoji-reactions-2,翻臉比翻書快！學會表達你的各種情緒,4,141,63,3/23/2016 9:26
66,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906254436162592,10:50:01 PM,link,111103359011041_906254436162592,【希平方英文學堂】今天 #希小編 在迎接週末前的夜晚要來考考各位粉絲啦！又長又粗又像棍子的法國麵包要怎麼說？France Bread? French Toast?以上都是錯誤的說法唷！( ´ ▽ ` )ﾉ#FrenchToast是法國吐司 #那法國麵包呢 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/white-bread-vs-brown-bread-which-is-better-for-you-2,會吃但會說嗎？麵包種類知多少！,0,129,51,3/18/2016 22:50
39,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_912638485524187,3:00:00 AM,link,111103359011041_912638485524187,,,https://www.facebook.com/111103359011041/posts/912638485524187/,粉絲人數破36萬！！,0,125,1,3/24/2016 3:00
30,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_913955438725825,7:58:00 PM,link,111103359011041_913955438725825,【咖啡英文】最近一直下雨，小編都要發霉了~ 😰😰 來喝杯熱騰騰的咖啡吧！(by #希小編)#不要再下雨啦 #喝咖啡學英文 #精選影片,shared_story,https://www.hopenglish.com/worlds-youngest-barista,「超萌小小咖啡師」- World's Youngest Barista,0,113,14,3/25/2016 19:58
65,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907760096012026,9:20:00 AM,photo,111103359011041_907760096012026,各位學英文的朋友早安：)「許多、大量」- Tons Of↓https://www.hopenglish.com/tons-of關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907760096012026/?type=3,Timeline Photos,1,108,14,3/21/2016 16:15
