流水號,大類別,From,網址,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time
9,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1154049831281483,9:00:00 PM,link,515316421821497_1154049831281483,【HERO 全新改版！抽 60 堂免費課程】VoiceTube HERO 是一套線上英語學習系統，提供最有效率的影片學習法，每堂課皆以一段影片搭配兼顧聽說讀寫的題型，點我免費體驗：https://goo.gl/S1XCsb※體驗課程目前僅提供給桌面版使用，我們也在努力設計行動版的囉！　　而全新改版的 VoiceTube HERO 終於正式上線囉！為了回饋大家長期的支持，小編要舉辦抽獎活動啦～快來告訴我們你學英文是為了達成什麼夢想，小編將會抽出 3 名幸運兒，贈送 60 堂的 HERO 中級/中高級課程，馬上留言+分享，讓 HERO 幫你圓夢吧　　活動方式：step 1：加入「VoiceTube 看影片學英語」粉絲團step 2：在此篇貼文下方留言，分享你想學英文是為了達成什麼夢想，　　　　並tag兩位朋友step 3：分享此篇貼文，並設定為「公開」　　活動日期：即日起到2016/4/11(一)　中午12:30截止4/12(二) 將抽出3名幸運兒，並公布於 VoiceTube 粉絲團，小編也會私訊通知得獎者喔～　　活動獎品：HERO 中級/中高級課程60堂（價值$4，950）*3組　　備註：1. VoiceTube 保留活動解釋與修改權利2. 一個帳號只有一次抽獎機會 3. 得獎者若在 4/15(五) 18:00 前未確認中獎資訊，則視為放棄得獎資格，VoiceTube 將另外抽出遞補人選　　------------------------------------------------------------------------　　【VoiceTube HERO 線上英語學習課程】免費體驗課程，還能測出你的多益程度>>> https://goo.gl/S1XCsb　　更多 HERO 功能介紹>>> https://goo.gl/ASEM1p,shared_story,https://goo.gl/S1XCsb,VoiceTube HERO 最有效率的影片學習法,432,3188,650,4/11/2016 16:24
59,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1146503755369424,11:50:01 AM,photo,515316421821497_1146503755369424,【午後每日一句】You have to do the things others won’t do， in order to get the things others won’t get .你必須先做別人不做的事，才會得到別人得不到的。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/frbcBA▷iOS：https://goo.gl/XEsLBx◇圖片來源：https://goo.gl/U6D57l,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1146503755369424/?type=3,Timeline Photos,6,1106,166,3/24/2016 11:56
74,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1143578372328629,7:00:00 PM,link,515316421821497_1143578372328629,考考你，以下選項有幾個是錯的？1.存錢到銀行= save the money in the bank2. 擁有良好英文能力= have good english ability3. 接電話= accept/receive a call4. 參加考試= join an exam5. 喝湯= drink soup..........答案是，通通是錯的。英文總是在說「中翻英」的英文？現在沒有理由不看這篇文章了：,shared_story,http://goo.gl/MyZsbu,好了，別再說中式英文了：受中文混淆的11個實用日常英語搭配詞,14,1074,408,3/20/2016 21:26
26,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1150101161676350,9:00:00 PM,link,515316421821497_1150101161676350,【實用推薦】中文會說「你很雷」但明明跟天氣完全沒關係英文也有很多這種意想不到的流行語呦！比如 dead 不一定代表有東西死掉了sick 也跟生病完全沒有關係幫你整理 10 句不能不知道的超常見流行語！http://goo.gl/rdJ9O4,shared_story,http://goo.gl/rdJ9O4,I’m good 不是「我很好」、Killed it 不是「殺了他」！10 句意想不到的英文流行語！,7,1069,444,3/29/2016 15:36
41,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1149339835085816,11:50:00 AM,photo,515316421821497_1149339835085816,【午後每日一句】The best compliment is when someone tells you that you make them want to be a better person.最好的讚美是當有人跟你說：為了你，我想要變得更好。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/frbcBA▷iOS：https://goo.gl/XEsLBx◇圖片來源：https://goo.gl/NVAhLA,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1149339835085816/?type=3,Timeline Photos,6,964,102,3/26/2016 12:58
43,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1148627401823726,7:00:00 PM,link,515316421821497_1148627401823726,聽音樂學英文回來了！這次帶給你激勵人心歌曲，為你在壞天氣裡也能有好心情除了這些，你平常都聽什麼勵志英文歌呢？http://goo.gl/QT0SuJ,shared_story,http://goo.gl/QT0SuJ,【聽音樂學英文】You are a fighter! 陪你度過低潮的激勵英文歌單,10,918,545,3/26/2016 2:17
27,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1151154121571054,7:00:00 PM,link,515316421821497_1151154121571054,不論是傳訊息道晚安、打電話叫女友起床、睡過頭遲到徹夜未眠、熬夜打電動、或亂發起床氣⋯⋯以上發生在你日常生活的小事，要怎麼用英文表達呢？快拿出你的筆記！道地說法，讓 VT 拉近你和外國人的距離！http://goo.gl/hiLQfy,shared_story,http://goo.gl/hiLQfy,【道地英文】sleep over 不是「睡過頭」！那賴床、起床氣、補眠、愛睏的英文你會說嗎？每天都用得到的各種「睡覺」和「起床」英文片語！,1,826,385,3/27/2016 22:30
78,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138049952881471,11:50:00 AM,photo,515316421821497_1138049952881471,【午後每日一句】Care less， and you won't be so stressed.少在乎一點，就不會這麼糾結了。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138049952881471/?type=3,Timeline Photos,9,807,89,3/20/2016 20:53
53,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138116316208168,11:50:00 AM,photo,515316421821497_1138116316208168,【午後每日一句】There are two types of pain in this world: pain that hurts you， and pain that changes you.這世界上有兩種疼痛，一種傷害你，一種改變你。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138116316208168/?type=3,Timeline Photos,6,806,98,3/23/2016 22:36
72,post,VoiceTube 看影片學英語(515316421821497),http://www.facebook.com/515316421821497_1138050216214778,11:50:00 AM,photo,515316421821497_1138050216214778,【午後每日一句】Be happy with what you have， while working for what you want.愉悅地接受擁有的一切，同時要為想擁有的而奮鬥。◇通勤還在滑FB看影片？打開VoiceTube App，讓你邊看最新的youtube爆紅影片還能學會字幕中的口語用法！立即下載：▷Android：https://goo.gl/nnGZaV▷iOS：https://goo.gl/WDhm1n,added_photos,https://www.facebook.com/voicetubetw/photos/a.517136481639491.125051.515316421821497/1138050216214778/?type=3,Timeline Photos,6,803,101,3/21/2016 0:06
